100001; 3.1950140000; 25.0383900000
100002; 10.6734280000; 24.8123500000
100004; 140.2344780000; 184.1235800000
100005; 78.1189320000; 106.1376600000
100006; 80.5226700000; 109.0463800000
100008; 26.4800700000; 48.3662400000
100009; 177.1701260000; 222.0555700000
100011; 94.0981240000; 161.6155600000
100012; 27.1386500000; 42.2409400000
100013; 78.2485680000; 99.7266100000
100015; 50.2114580000; 94.4019400000
100016; 36.7500000000; 42.1763500000
100017; 260.5261940000; 280.4599600000
100018; 10.1207460000; 12.4416500000
100021; 0.1984460000; 44.7326900000
100023; 61.3721320000; 71.0739300000
100025; 5.2951220000; 23.1512000000
100026; 1.1906760000; 20.1734900000
100027; 9.2205380000; 23.2923000000
100028; 19.1724460000; 57.4328400000
100029; 8.7137840000; 39.0178700000
100032; 5.7740000000; 15.5118500000
100036; 9.8939100000; 33.1763800000
100041; 5.8973600000; 13.9430800000
100043; 7.7672300000; 26.9196600000
100045; 15.6005600000; 30.2746300000
100046; 41.4943440000; 112.2835300000
100047; 5.5811800000; 7.1192700000
100048; 10.9145300000; 52.0061300000
100049; 12.1706380000; 65.9117900000
100050; 46.7603760000; 64.9101500000
100051; 8.9739780000; 41.3290600000
100053; 9.8939100000; 12.7704900000
100056; 106.8600000000; 145.9168000000
100057; 43.4836320000; 60.6489100000
100059; 0.8338200000; 2.5762100000
100061; 1.1906760000; 6.0029400000
100067; 141.2012140000; 224.6487000000
100068; 19.3200000000; 23.4115900000
100074; 8.0000000000; 13.8581700000
100077; 24.7950000000; 26.9519300000
100078; 26.3632600000; 41.1128500000
100079; 73.7930580000; 166.3136400000
100080; 54.1446900000; 103.7408600000
100082; 71.8193800000; 121.1585700000
100083; 9.3046800000; 20.0307500000
100084; 105.9935260000; 138.5959300000
100085; 15.5965880000; 38.5971500000
100086; 2.1829060000; 13.5410000000
100087; 1.7860140000; 7.2971800000
100088; 0.7440000000; 6.9810200000
100089; 42.5420000000; 49.7409200000
100090; 12.5327980000; 29.0023400000
100092; 26.4443380000; 32.8463600000
100093; 4.6336400000; 5.6356500000
100094; 7.9997440000; 19.5190200000
100096; 5.7350580000; 22.0786700000
100097; 113.2859960000; 130.6292400000
100098; 147.1374980000; 196.7973300000
100099; 65.8800000000; 142.8113300000
100101; 40.4395200000; 64.0540300000
100102; 64.7618400000; 120.7602200000
100103; 15.7612660000; 16.0588900000
100104; 14.4715770000; 37.5726500000
100105; 3.5158250000; 5.3712800000
100106; 23.4204590000; 88.8278300000
100108; 6.5428280000; 62.1198900000
100110; 2.4767900000; 45.4608100000
